Movie_Title,Company_title,Company_link,
https://www.the-numbers.com/movie/annees-Super-8-Les-(2022-France)#tab=box-office,Kino Lorber,https://www.the-numbers.com/market/distributor/Kino-Lorber,
https://www.the-numbers.com/movie/Framing-Agnes-(2022-Canada)#tab=box-office,Kino Lorber,https://www.the-numbers.com/market/distributor/Kino-Lorber,
https://www.the-numbers.com/movie/Let-it-be-Morning-(2022-Israel)#tab=box-office,Cohen Media Group,https://www.the-numbers.com/market/distributor/Cohen-Media-Group,
https://www.the-numbers.com/movie/Utama-(2022-Bolivia)#tab=box-office,Kino Lorber,https://www.the-numbers.com/market/distributor/Kino-Lorber,
https://www.the-numbers.com/movie/Life-Upside-Down-(2023)#tab=box-office,IFC Films,https://www.the-numbers.com/market/distributor/IFC-Films,
https://www.the-numbers.com/movie/Leonor-Will-Never-Die-(2022-Philippines)#tab=box-office,Music Box Films,https://www.the-numbers.com/market/distributor/Music-Box-Films,
https://www.the-numbers.com/movie/Discreet-Charm-of-the-Bourgeoisie-The#tab=box-office,,,
https://www.the-numbers.com/movie/Jethica-(2023)#tab=box-office,Cinedigm,https://www.the-numbers.com/market/distributor/Cinedigm,
https://www.the-numbers.com/movie/Brainwashed-Sex-Camera-Power-(2022)#tab=box-office,Kino Lorber,https://www.the-numbers.com/market/distributor/Kino-Lorber,
https://www.the-numbers.com/movie/Christmas-Bloody-Christmas-(2022)#tab=box-office,RLJ Entertainment,https://www.the-numbers.com/market/distributor/RLJ-Entertainment,
https://www.the-numbers.com/movie/When-Men-Were-Men-(2022)#tab=box-office,Indican Pictures,https://www.the-numbers.com/market/distributor/Indican-Pictures,
